coordenada_id,departamento,departamento_iso,metodo_seleccion,crs_generacion,separacion_grilla_m,easting_m,northing_m,fuente_limite,latitud,longitud
URY_AR_G_E425000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,425000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.730525,-57.783413
URY_AR_G_E425000_N6625000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,425000.0,6625000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.504952,-57.781599
URY_AR_G_E450000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,450000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.731839,-57.522287
URY_AR_G_E450000_N6625000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,450000.0,6625000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.506254,-57.521077
URY_AR_G_E475000_N6575000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,475000.0,6575000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.958211,-57.261759
URY_AR_G_E475000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,475000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.732627,-57.261147
URY_AR_G_E475000_N6625000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,475000.0,6625000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.507035,-57.260542
URY_AR_G_E475000_N6650000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,475000.0,6650000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.281436,-57.259944
URY_AR_G_E500000_N6575000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,500000.0,6575000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.958476,-57.0
URY_AR_G_E500000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,500000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.73289,-57.0
URY_AR_G_E500000_N6625000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,500000.0,6625000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.507296,-57.0
URY_AR_G_E500000_N6650000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,500000.0,6650000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.281694,-57.0
URY_AR_G_E525000_N6575000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,525000.0,6575000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.958211,-56.738241
URY_AR_G_E525000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,525000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.732627,-56.738853
URY_AR_G_E525000_N6625000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,525000.0,6625000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.507035,-56.739458
URY_AR_G_E525000_N6650000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,525000.0,6650000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.281436,-56.740056
URY_AR_G_E550000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,550000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.731839,-56.477713
URY_AR_G_E550000_N6625000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,550000.0,6625000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.506254,-56.478923
URY_AR_G_E575000_N6600000,Artigas,UY-AR,regular_grid_25km,EPSG:32721,25000,575000.0,6600000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.730525,-56.216587
URY_CA_G_E550000_N6175000,Canelones,UY-CA,regular_grid_25km,EPSG:32721,25000,550000.0,6175000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.565542,-56.454933
URY_CA_G_E575000_N6175000,Canelones,UY-CA,regular_grid_25km,EPSG:32721,25000,575000.0,6175000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.564021,-56.18242
URY_CA_G_E600000_N6150000,Canelones,UY-CA,regular_grid_25km,EPSG:32721,25000,600000.0,6150000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.787299,-55.906974
