coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite
URY_AR_G_E450000_N6600000,Artigas,UY-AR,-30.73183900000001,-57.52228699999999,450000.0,6600000.0,12944.486524066826,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E450000_N6625000,Artigas,UY-AR,-30.506253999999995,-57.52107699999999,450000.0,6625000.0,20960.844389837555,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E475000_N6600000,Artigas,UY-AR,-30.732627000000004,-57.261147,475000.0,6600000.0,22875.657951149573,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E475000_N6625000,Artigas,UY-AR,-30.50703499999999,-57.260542,475000.0,6625000.0,23655.965238987817,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E500000_N6575000,Artigas,UY-AR,-30.958475999999994,-57.00000000000001,500000.0,6575000.0,8995.2915130693,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E500000_N6600000,Artigas,UY-AR,-30.73289,-57.00000000000001,500000.0,6600000.0,33925.22982975581,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E500000_N6625000,Artigas,UY-AR,-30.507296,-57.00000000000001,500000.0,6625000.0,31419.67034110182,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E500000_N6650000,Artigas,UY-AR,-30.281693999999998,-57.00000000000001,500000.0,6650000.0,15828.59979901856,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E525000_N6575000,Artigas,UY-AR,-30.958211000000002,-56.738241,525000.0,6575000.0,9076.77563119342,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E525000_N6600000,Artigas,UY-AR,-30.732627000000004,-56.738853,525000.0,6600000.0,31482.672866565565,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E525000_N6625000,Artigas,UY-AR,-30.50703499999999,-56.739458,525000.0,6625000.0,24671.372459937764,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E525000_N6650000,Artigas,UY-AR,-30.28143600000001,-56.740056,525000.0,6650000.0,9419.250083983256,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E550000_N6600000,Artigas,UY-AR,-30.73183900000001,-56.477713,550000.0,6600000.0,17471.60009044519,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_AR_G_E550000_N6625000,Artigas,UY-AR,-30.506253999999995,-56.478923,550000.0,6625000.0,8081.017171959331,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CA_G_E575000_N6175000,Canelones,UY-CA,-34.56402099999999,-56.18242,575000.0,6175000.0,17046.39022628587,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CA_G_E600000_N6175000,Canelones,UY-CA,-34.561892,-55.909931,600000.0,6175000.0,25326.820981910798,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CA_G_E625000_N6175000,Canelones,UY-CA,-34.55915499999998,-55.637475,625000.0,6175000.0,10237.659160292847,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E675000_N6375000,Cerro Largo,UY-CL,-32.74895399999999,-55.132067,675000.0,6375000.0,17290.12906401336,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E700000_N6375000,Cerro Largo,UY-CL,-32.74469399999999,-54.865369,700000.0,6375000.0,11721.08600657655,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E700000_N6400000,Cerro Largo,UY-CL,-32.519327999999994,-54.870716,700000.0,6400000.0,14393.154522599682,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E725000_N6400000,Cerro Largo,UY-CL,-32.514542,-54.604744,725000.0,6400000.0,30939.14381397432,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E725000_N6425000,Cerro Largo,UY-CL,-32.28920800000001,-54.61069,725000.0,6425000.0,18526.458115057514,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E750000_N6400000,Cerro Largo,UY-CL,-32.509195,-54.33884,750000.0,6400000.0,22429.53276770344,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E750000_N6425000,Cerro Largo,UY-CL,-32.28390699999999,-54.345444,750000.0,6425000.0,30497.85093117007,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E750000_N6450000,Cerro Largo,UY-CL,-32.058610000000016,-54.351975,750000.0,6450000.0,17164.501868395088,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E750000_N6475000,Cerro Largo,UY-CL,-31.833304,-54.35843400000001,750000.0,6475000.0,9079.002090276997,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E775000_N6400000,Cerro Largo,UY-CL,-32.50328700000001,-54.073009,775000.0,6400000.0,23420.547143341075,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E775000_N6425000,Cerro Largo,UY-CL,-32.27804999999999,-54.080271,775000.0,6425000.0,33949.021736624665,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E775000_N6450000,Cerro Largo,UY-CL,-32.052804,-54.087453,775000.0,6450000.0,13034.659911938157,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E800000_N6400000,Cerro Largo,UY-CL,-32.49681900000001,-53.80726,800000.0,6400000.0,19733.11853358614,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CL_G_E800000_N6425000,Cerro Largo,UY-CL,-32.271637999999996,-53.815179,800000.0,6425000.0,12634.113950819341,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CO_G_E400000_N6250000,Colonia,UY-CO,-33.88562000000001,-58.081391,400000.0,6250000.0,8055.808878091233,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CO_G_E425000_N6200000,Colonia,UY-CO,-34.33858799999999,-57.815386000000004,425000.0,6200000.0,8631.105321167359,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CO_G_E425000_N6225000,Colonia,UY-CO,-34.11314599999999,-57.813216,425000.0,6225000.0,21108.709772223498,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
