metodo,clase,observaciones,porcentaje
terciles_positivos,clase_1,1239,41.843971631205676
terciles_positivos,clase_2,1036,34.988179669030735
terciles_positivos,clase_3,686,23.167848699763592
cuartiles_positivos,clase_1,1239,41.843971631205676
cuartiles_positivos,clase_2,661,22.32353934481594
cuartiles_positivos,clase_3,375,12.664640324214794
cuartiles_positivos,clase_4,686,23.167848699763592
mediana_p90_positivos,clase_1,1900,64.16751097602162
mediana_p90_positivos,clase_2,820,27.693346842283013
mediana_p90_positivos,clase_3,241,8.139142181695373
