anio_mes,detecciones,dias_periodo,dias_con_detecciones,dias_sin_detecciones
2018-01,147,30,26,4
2018-02,77,28,16,12
2018-03,91,31,14,17
2018-04,54,30,12,18
2018-05,30,31,8,23
2018-06,33,30,8,22
2018-07,11,31,5,26
2018-08,113,31,18,13
2018-09,72,30,15,15
2018-10,66,31,16,15
2018-11,115,30,19,11
2018-12,105,31,24,7
2019-01,46,31,13,18
2019-02,42,28,13,15
2019-03,36,31,17,14
2019-04,50,30,17,13
2019-05,47,31,8,23
2019-06,22,30,6,24
2019-07,81,31,15,16
2019-08,228,31,21,10
2019-09,280,30,24,6
2019-10,103,31,16,15
2019-11,96,30,15,15
2019-12,140,31,21,10
2020-01,91,31,20,11
2020-02,97,29,23,6
2020-03,81,31,20,11
2020-04,181,30,24,6
2020-05,267,31,21,10
2020-06,48,30,12,18
2020-07,104,31,17,14
2020-08,384,31,24,7
2020-09,244,30,20,10
2020-10,100,31,18,13
2020-11,84,30,13,17
2020-12,57,31,16,15
2021-01,62,31,19,12
2021-02,31,28,11,17
2021-03,11,31,8,23
2021-04,46,30,15,15
2021-05,108,31,21,10
2021-06,68,30,13,17
2021-07,73,31,15,16
2021-08,168,31,25,6
2021-09,26,30,11,19
2021-10,117,31,23,8
2021-11,66,30,15,15
2021-12,270,31,19,12
2022-01,178,31,20,11
2022-02,43,28,15,13
2022-03,26,31,11,20
2022-04,37,30,11,19
2022-05,78,31,18,13
2022-06,85,30,18,12
2022-07,20,31,8,23
2022-08,123,31,19,12
2022-09,227,30,21,9
2022-10,176,31,17,14
2022-11,71,30,16,14
2022-12,66,31,18,13
2023-01,140,31,21,10
2023-02,66,28,17,11
2023-03,52,31,17,14
2023-04,85,30,20,10
2023-05,94,31,18,13
2023-06,45,30,11,19
2023-07,14,31,6,25
2023-08,124,31,20,11
2023-09,25,30,8,22
2023-10,105,31,17,14
2023-11,85,30,20,10
2023-12,63,31,14,17
2024-01,84,31,11,20
2024-02,17,29,4,25
2024-03,16,31,9,22
2024-04,5,30,2,28
2024-05,4,31,3,28
2024-06,28,30,11,19
2024-07,67,31,18,13
2024-08,80,31,11,20
2024-09,59,30,15,15
2024-10,62,31,15,16
2024-11,79,30,18,12
2024-12,80,31,18,13
2025-01,68,31,16,15
2025-02,36,28,12,16
2025-03,24,31,9,22
2025-04,55,30,13,17
2025-05,47,31,11,20
2025-06,39,30,11,19
2025-07,92,31,19,12
2025-08,202,31,21,10
2025-09,170,30,16,14
2025-10,149,31,23,8
2025-11,91,30,17,13
2025-12,67,31,17,14
