departamento,2018,2019,2020,2021,2022,2023,2024,2025
Artigas,44,82,108,69,45,46,60,175
Canelones,76,68,79,49,49,98,65,50
Cerro Largo,56,120,107,37,28,53,26,81
Colonia,31,64,71,55,121,65,33,19
Durazno,47,66,60,19,32,34,15,57
Flores,14,27,36,13,6,20,12,9
Florida,30,51,51,17,36,28,19,41
Lavalleja,68,75,134,57,99,73,77,61
Maldonado,41,48,50,47,59,41,36,27
Montevideo,6,6,29,3,24,26,2,11
Paysandú,35,39,88,138,22,30,24,48
Rivera,39,50,92,30,71,24,18,56
Rocha,103,110,183,42,119,65,47,58
Río Negro,46,46,134,309,44,50,18,27
Salto,15,12,29,19,16,17,14,52
San José,61,56,66,52,92,92,34,23
Soriano,71,89,88,64,87,51,31,20
Tacuarembó,93,68,212,50,34,32,29,154
Treinta y Tres,57,80,126,48,64,53,31,61
