departamento,detecciones_totales,semanas_disponibles,semanas_sin_detecciones,semanas_con_detecciones,media_semanal,mediana_semanal,maximo_semanal,p75,p90,p95,p99,superficie_km2,porcentaje_semanas_con_detecciones,detecciones_totales_por_1000_km2,ranking_conteo_absoluto,ranking_por_superficie,cambio_ranking_normalizado
Rocha,727,418,216,202,1.7392344497607655,0.0,29,2.0,4.0,8.0,20.319999999999936,10558.553826772255,48.32535885167464,68.85412641990987,1,6,-5
Río Negro,674,418,271,147,1.61244019138756,0.0,173,1.0,3.0,7.0,16.0,9810.67596839813,35.16746411483253,68.70066875830672,2,7,-5
Tacuarembó,672,418,230,188,1.6076555023923444,0.0,38,2.0,4.300000000000011,7.0,17.829999999999984,15973.367767510354,44.97607655502392,42.07002616986258,3,12,-9
Lavalleja,644,418,197,221,1.5406698564593302,1.0,20,2.0,4.0,6.0,10.659999999999968,10031.272844140674,52.87081339712919,64.199230746292,4,8,-4
Artigas,629,418,212,206,1.5047846889952152,0.0,17,2.0,4.0,6.0,11.0,12010.600679730765,49.282296650717704,52.3704031773788,5,11,-6
Canelones,534,418,264,154,1.277511961722488,0.0,21,2.0,4.0,6.0,12.0,4520.87871068126,36.84210526315789,118.1186300659525,6,2,4
Treinta y Tres,520,418,227,191,1.244019138755981,0.0,14,2.0,3.3000000000000114,5.0,10.829999999999984,9285.005878360264,45.69377990430622,56.00427256722774,7,9,-2
Cerro Largo,508,418,214,204,1.215311004784689,0.0,12,1.75,4.0,5.0,10.0,13655.557447815512,48.803827751196174,37.200971248615346,8,14,-6
Soriano,501,418,234,184,1.1985645933014355,0.0,16,1.0,4.0,5.0,10.0,9122.538742945157,44.01913875598086,54.91892269434804,9,10,-1
San José,476,418,226,192,1.138755980861244,0.0,15,2.0,3.0,5.0,9.829999999999984,5002.920653176918,45.933014354066984,95.14442322760685,10,3,7
Colonia,459,418,261,157,1.0980861244019138,0.0,20,1.0,3.0,5.0,8.0,6112.026851866528,37.55980861244019,75.09783761172905,11,4,7
Paysandú,424,418,291,127,1.014354066985646,0.0,100,1.0,2.0,4.0,11.0,14088.526169172621,30.38277511961722,30.09541203307431,12,15,-3
Rivera,380,418,275,143,0.9090909090909091,0.0,18,1.0,3.0,4.0,8.0,9329.550532265199,34.21052631578947,40.73079390971868,13,13,0
Maldonado,349,418,267,151,0.8349282296650717,0.0,10,1.0,3.0,4.0,6.0,4803.260185508939,36.124401913875595,72.65898296596669,14,5,9
Durazno,330,418,281,137,0.7894736842105263,0.0,17,1.0,3.0,4.0,8.829999999999984,12228.10425056514,32.77511961722488,26.98701231507317,15,16,-1
Florida,273,418,282,136,0.65311004784689,0.0,10,1.0,2.0,3.0,4.829999999999984,10405.572253242583,32.535885167464116,26.235942950175353,16,18,-2
Salto,174,418,330,88,0.41626794258373206,0.0,10,0.0,1.0,2.0,4.829999999999984,14170.87435119916,21.052631578947366,12.27870600555257,17,19,-2
Flores,137,418,335,83,0.3277511961722488,0.0,10,0.0,1.0,2.0,4.0,5140.77049712524,19.85645933014354,26.649701650095352,18,17,1
Montevideo,107,418,368,50,0.25598086124401914,0.0,16,0.0,1.0,2.0,4.0,527.7536386520376,11.961722488038278,202.7461151633064,19,1,18
