numero_semana,detecciones_totales,observaciones,observaciones_positivas,porcentaje_positivas
1,182,152,65,42.76315789473684
2,176,152,62,40.78947368421053
3,168,152,72,47.368421052631575
4,150,152,64,42.10526315789473
5,138,152,62,40.78947368421053
6,89,152,40,26.31578947368421
7,125,152,54,35.526315789473685
8,67,152,30,19.736842105263158
9,64,152,33,21.710526315789476
10,113,152,43,28.289473684210524
11,64,152,29,19.078947368421055
12,82,152,37,24.342105263157894
13,42,152,24,15.789473684210526
14,89,152,36,23.684210526315788
15,123,152,52,34.21052631578947
16,199,152,60,39.473684210526315
17,120,152,45,29.605263157894733
18,125,152,35,23.026315789473685
19,231,152,59,38.81578947368421
20,174,152,56,36.84210526315789
21,72,152,30,19.736842105263158
22,120,152,47,30.92105263157895
23,73,152,29,19.078947368421055
24,108,152,39,25.657894736842106
25,66,152,20,13.157894736842104
26,80,152,28,18.421052631578945
27,101,152,38,25.0
28,96,152,39,25.657894736842106
29,99,152,42,27.631578947368425
30,153,152,51,33.55263157894737
31,301,152,82,53.94736842105263
32,253,152,75,49.34210526315789
33,497,152,100,65.78947368421053
34,201,152,66,43.42105263157895
35,234,152,79,51.973684210526315
36,265,152,77,50.6578947368421
37,266,152,73,48.026315789473685
38,343,152,78,51.31578947368421
39,195,152,62,40.78947368421053
40,260,152,90,59.210526315789465
41,186,152,67,44.07894736842105
42,166,152,65,42.76315789473684
43,182,152,71,46.71052631578947
44,159,152,80,52.63157894736842
45,123,152,68,44.73684210526316
46,158,152,79,51.973684210526315
47,232,152,94,61.8421052631579
48,116,152,49,32.23684210526316
49,183,152,78,51.31578947368421
50,129,152,63,41.44736842105263
51,121,152,59,38.81578947368421
52,411,152,62,40.78947368421053
53,48,38,23,60.526315789473685
