anio,nivel_actividad_firms,cantidad,total_observaciones,porcentaje
2018,Sin detección,653,1007,64.84607745779543
2018,Bajo,132,1007,13.108242303872888
2018,Moderado,149,1007,14.796425024826215
2018,Alto,73,1007,7.249255213505462
2019,Sin detección,568,988,57.48987854251012
2019,Bajo,175,988,17.71255060728745
2019,Moderado,150,988,15.182186234817813
2019,Alto,95,988,9.615384615384617
2020,Sin detección,520,988,52.63157894736842
2020,Bajo,159,988,16.09311740890688
2020,Moderado,142,988,14.37246963562753
2020,Alto,167,988,16.902834008097166
2021,Sin detección,643,988,65.08097165991903
2021,Bajo,162,988,16.39676113360324
2021,Moderado,110,988,11.133603238866396
2021,Alto,73,988,7.388663967611336
2022,Sin detección,617,988,62.44939271255061
2022,Bajo,160,988,16.194331983805668
2022,Moderado,130,988,13.157894736842104
2022,Alto,81,988,8.19838056680162
2023,Sin detección,615,988,62.24696356275303
2023,Bajo,170,988,17.20647773279352
2023,Moderado,135,988,13.663967611336034
2023,Alto,68,988,6.882591093117409
2024,Sin detección,738,1007,73.28699106256207
2024,Bajo,128,1007,12.711022840119165
2024,Moderado,102,1007,10.12909632571996
2024,Alto,39,1007,3.8728897715988087
2025,Sin detección,613,969,63.261093911248715
2025,Bajo,151,969,15.583075335397318
2025,Moderado,116,969,11.97110423116615
2025,Alto,89,969,9.184726522187821
