departamento,nivel_actividad_firms,cantidad,total_observaciones,porcentaje
Artigas,Sin detección,211,417,50.59952038369304
Artigas,Bajo,69,417,16.546762589928058
Artigas,Moderado,73,417,17.505995203836928
Artigas,Alto,64,417,15.347721822541965
Canelones,Sin detección,264,417,63.30935251798561
Canelones,Bajo,48,417,11.510791366906476
Canelones,Moderado,43,417,10.311750599520384
Canelones,Alto,62,417,14.86810551558753
Cerro Largo,Sin detección,213,417,51.07913669064749
Cerro Largo,Bajo,99,417,23.741007194244602
Cerro Largo,Moderado,62,417,14.86810551558753
Cerro Largo,Alto,43,417,10.311750599520384
Colonia,Sin detección,260,417,62.35011990407674
Colonia,Bajo,54,417,12.949640287769784
Colonia,Moderado,64,417,15.347721822541965
Colonia,Alto,39,417,9.352517985611511
Durazno,Sin detección,280,417,67.14628297362111
Durazno,Bajo,73,417,17.505995203836928
Durazno,Moderado,40,417,9.59232613908873
Durazno,Alto,24,417,5.755395683453238
Flores,Sin detección,334,417,80.0959232613909
Flores,Bajo,56,417,13.42925659472422
Flores,Moderado,20,417,4.796163069544365
Flores,Alto,7,417,1.6786570743405276
Florida,Sin detección,282,417,67.62589928057554
Florida,Bajo,59,417,14.148681055155876
Florida,Moderado,64,417,15.347721822541965
Florida,Alto,12,417,2.877697841726619
Lavalleja,Sin detección,196,417,47.00239808153477
Lavalleja,Bajo,79,417,18.94484412470024
Lavalleja,Moderado,85,417,20.38369304556355
Lavalleja,Alto,57,417,13.66906474820144
Maldonado,Sin detección,266,417,63.78896882494005
Maldonado,Bajo,61,417,14.628297362110313
Maldonado,Moderado,60,417,14.388489208633093
Maldonado,Alto,30,417,7.194244604316546
Montevideo,Sin detección,368,417,88.2494004796163
Montevideo,Bajo,28,417,6.71462829736211
Montevideo,Moderado,15,417,3.597122302158273
Montevideo,Alto,6,417,1.4388489208633095
Paysandú,Sin detección,290,417,69.54436450839329
Paysandú,Bajo,61,417,14.628297362110313
Paysandú,Moderado,41,417,9.832134292565947
Paysandú,Alto,25,417,5.995203836930456
Rivera,Sin detección,274,417,65.70743405275779
Rivera,Bajo,58,417,13.908872901678656
Rivera,Moderado,50,417,11.990407673860911
Rivera,Alto,35,417,8.393285371702639
Rocha,Sin detección,216,417,51.798561151079134
Rocha,Bajo,74,417,17.74580335731415
Rocha,Moderado,74,417,17.74580335731415
Rocha,Alto,53,417,12.709832134292565
Río Negro,Sin detección,271,417,64.98800959232614
Río Negro,Bajo,60,417,14.388489208633093
Río Negro,Moderado,47,417,11.270983213429256
Río Negro,Alto,39,417,9.352517985611511
Salto,Sin detección,329,417,78.8968824940048
Salto,Bajo,48,417,11.510791366906476
Salto,Moderado,28,417,6.71462829736211
Salto,Alto,12,417,2.877697841726619
San José,Sin detección,225,417,53.956834532374096
San José,Bajo,84,417,20.14388489208633
San José,Moderado,74,417,17.74580335731415
San José,Alto,34,417,8.15347721822542
Soriano,Sin detección,233,417,55.875299760191844
Soriano,Bajo,81,417,19.424460431654676
Soriano,Moderado,56,417,13.42925659472422
Soriano,Alto,47,417,11.270983213429256
Tacuarembó,Sin detección,229,417,54.91606714628298
Tacuarembó,Bajo,75,417,17.985611510791365
Tacuarembó,Moderado,59,417,14.148681055155876
Tacuarembó,Alto,54,417,12.949640287769784
Treinta y Tres,Sin detección,226,417,54.196642685851316
Treinta y Tres,Bajo,70,417,16.786570743405278
Treinta y Tres,Moderado,79,417,18.94484412470024
Treinta y Tres,Alto,42,417,10.071942446043165
