departamento,departamento_iso,anio,numero_semana,fecha_inicio_semana,fecha_fin_semana,cantidad_detecciones,superficie_km2,detecciones_por_1000_km2
Artigas,UY-AR,2025,52,2025-12-29,2026-01-04,0,12010.600679730765,0.0
Canelones,UY-CA,2025,52,2025-12-29,2026-01-04,4,4520.87871068126,0.8847837458123782
Cerro Largo,UY-CL,2025,52,2025-12-29,2026-01-04,0,13655.557447815512,0.0
Colonia,UY-CO,2025,52,2025-12-29,2026-01-04,0,6112.026851866528,0.0
Durazno,UY-DU,2025,52,2025-12-29,2026-01-04,0,12228.10425056514,0.0
Flores,UY-FS,2025,52,2025-12-29,2026-01-04,0,5140.77049712524,0.0
Florida,UY-FD,2025,52,2025-12-29,2026-01-04,1,10405.572253242583,0.09610235512884745
Lavalleja,UY-LA,2025,52,2025-12-29,2026-01-04,0,10031.272844140674,0.0
Maldonado,UY-MA,2025,52,2025-12-29,2026-01-04,0,4803.260185508939,0.0
Montevideo,UY-MO,2025,52,2025-12-29,2026-01-04,2,527.7536386520376,3.7896470123982504
Paysandú,UY-PA,2025,52,2025-12-29,2026-01-04,0,14088.526169172621,0.0
Rivera,UY-RV,2025,52,2025-12-29,2026-01-04,0,9329.550532265199,0.0
Rocha,UY-RO,2025,52,2025-12-29,2026-01-04,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2025,52,2025-12-29,2026-01-04,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2025,52,2025-12-29,2026-01-04,0,14170.87435119916,0.0
San José,UY-SJ,2025,52,2025-12-29,2026-01-04,0,5002.920653176918,0.0
Soriano,UY-SO,2025,52,2025-12-29,2026-01-04,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2025,52,2025-12-29,2026-01-04,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2025,52,2025-12-29,2026-01-04,0,9285.005878360264,0.0
