departamento,departamento_iso,anio,numero_semana,fecha_inicio_semana,fecha_fin_semana,cantidad_detecciones,superficie_km2,detecciones_por_1000_km2
Artigas,UY-AR,2018,1,2018-01-01,2018-01-07,0,12010.600679730765,0.0
Canelones,UY-CA,2018,1,2018-01-01,2018-01-07,14,4520.87871068126,3.096743110343324
Cerro Largo,UY-CL,2018,1,2018-01-01,2018-01-07,1,13655.557447815512,0.07323025836341603
Colonia,UY-CO,2018,1,2018-01-01,2018-01-07,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2018,1,2018-01-01,2018-01-07,1,12228.10425056514,0.08177882519719143
Flores,UY-FS,2018,1,2018-01-01,2018-01-07,0,5140.77049712524,0.0
Florida,UY-FD,2018,1,2018-01-01,2018-01-07,2,10405.572253242583,0.1922047102576949
Lavalleja,UY-LA,2018,1,2018-01-01,2018-01-07,4,10031.272844140674,0.39875298600181364
Maldonado,UY-MA,2018,1,2018-01-01,2018-01-07,4,4803.260185508939,0.8327677130769822
Montevideo,UY-MO,2018,1,2018-01-01,2018-01-07,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,1,2018-01-01,2018-01-07,0,14088.526169172621,0.0
Rivera,UY-RV,2018,1,2018-01-01,2018-01-07,5,9329.550532265199,0.5359314988120879
Rocha,UY-RO,2018,1,2018-01-01,2018-01-07,3,10558.553826772255,0.28412982016469
Río Negro,UY-RN,2018,1,2018-01-01,2018-01-07,3,9810.67596839813,0.30578932681738896
Salto,UY-SA,2018,1,2018-01-01,2018-01-07,0,14170.87435119916,0.0
San José,UY-SJ,2018,1,2018-01-01,2018-01-07,2,5002.920653176918,0.39976648414960864
Soriano,UY-SO,2018,1,2018-01-01,2018-01-07,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2018,1,2018-01-01,2018-01-07,1,15973.367767510354,0.06260420560991455
Treinta y Tres,UY-TT,2018,1,2018-01-01,2018-01-07,4,9285.005878360264,0.4308020966709826
Artigas,UY-AR,2018,2,2018-01-08,2018-01-14,0,12010.600679730765,0.0
Canelones,UY-CA,2018,2,2018-01-08,2018-01-14,2,4520.87871068126,0.4423918729061891
Cerro Largo,UY-CL,2018,2,2018-01-08,2018-01-14,5,13655.557447815512,0.36615129181708017
Colonia,UY-CO,2018,2,2018-01-08,2018-01-14,0,6112.026851866528,0.0
Durazno,UY-DU,2018,2,2018-01-08,2018-01-14,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2018,2,2018-01-08,2018-01-14,0,5140.77049712524,0.0
Florida,UY-FD,2018,2,2018-01-08,2018-01-14,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,2,2018-01-08,2018-01-14,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2018,2,2018-01-08,2018-01-14,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,2,2018-01-08,2018-01-14,2,527.7536386520376,3.7896470123982504
Paysandú,UY-PA,2018,2,2018-01-08,2018-01-14,0,14088.526169172621,0.0
Rivera,UY-RV,2018,2,2018-01-08,2018-01-14,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2018,2,2018-01-08,2018-01-14,13,10558.553826772255,1.2312292207136564
Río Negro,UY-RN,2018,2,2018-01-08,2018-01-14,0,9810.67596839813,0.0
Salto,UY-SA,2018,2,2018-01-08,2018-01-14,3,14170.87435119916,0.21170182768194087
San José,UY-SJ,2018,2,2018-01-08,2018-01-14,0,5002.920653176918,0.0
Soriano,UY-SO,2018,2,2018-01-08,2018-01-14,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,2,2018-01-08,2018-01-14,3,15973.367767510354,0.18781261682974365
Treinta y Tres,UY-TT,2018,2,2018-01-08,2018-01-14,1,9285.005878360264,0.10770052416774566
Artigas,UY-AR,2018,3,2018-01-15,2018-01-21,0,12010.600679730765,0.0
Canelones,UY-CA,2018,3,2018-01-15,2018-01-21,9,4520.87871068126,1.990763428077851
Cerro Largo,UY-CL,2018,3,2018-01-15,2018-01-21,1,13655.557447815512,0.07323025836341603
Colonia,UY-CO,2018,3,2018-01-15,2018-01-21,0,6112.026851866528,0.0
Durazno,UY-DU,2018,3,2018-01-15,2018-01-21,0,12228.10425056514,0.0
Flores,UY-FS,2018,3,2018-01-15,2018-01-21,0,5140.77049712524,0.0
Florida,UY-FD,2018,3,2018-01-15,2018-01-21,2,10405.572253242583,0.1922047102576949
Lavalleja,UY-LA,2018,3,2018-01-15,2018-01-21,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2018,3,2018-01-15,2018-01-21,5,4803.260185508939,1.0409596413462279
Montevideo,UY-MO,2018,3,2018-01-15,2018-01-21,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,3,2018-01-15,2018-01-21,0,14088.526169172621,0.0
Rivera,UY-RV,2018,3,2018-01-15,2018-01-21,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2018,3,2018-01-15,2018-01-21,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2018,3,2018-01-15,2018-01-21,0,9810.67596839813,0.0
Salto,UY-SA,2018,3,2018-01-15,2018-01-21,0,14170.87435119916,0.0
San José,UY-SJ,2018,3,2018-01-15,2018-01-21,3,5002.920653176918,0.5996497262244129
Soriano,UY-SO,2018,3,2018-01-15,2018-01-21,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2018,3,2018-01-15,2018-01-21,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2018,3,2018-01-15,2018-01-21,0,9285.005878360264,0.0
Artigas,UY-AR,2018,4,2018-01-22,2018-01-28,0,12010.600679730765,0.0
Canelones,UY-CA,2018,4,2018-01-22,2018-01-28,1,4520.87871068126,0.22119593645309454
Cerro Largo,UY-CL,2018,4,2018-01-22,2018-01-28,0,13655.557447815512,0.0
Colonia,UY-CO,2018,4,2018-01-22,2018-01-28,0,6112.026851866528,0.0
Durazno,UY-DU,2018,4,2018-01-22,2018-01-28,0,12228.10425056514,0.0
Flores,UY-FS,2018,4,2018-01-22,2018-01-28,0,5140.77049712524,0.0
Florida,UY-FD,2018,4,2018-01-22,2018-01-28,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,4,2018-01-22,2018-01-28,2,10031.272844140674,0.19937649300090682
Maldonado,UY-MA,2018,4,2018-01-22,2018-01-28,1,4803.260185508939,0.20819192826924554
Montevideo,UY-MO,2018,4,2018-01-22,2018-01-28,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,4,2018-01-22,2018-01-28,0,14088.526169172621,0.0
Rivera,UY-RV,2018,4,2018-01-22,2018-01-28,0,9329.550532265199,0.0
Rocha,UY-RO,2018,4,2018-01-22,2018-01-28,0,10558.553826772255,0.0
Río Negro,UY-RN,2018,4,2018-01-22,2018-01-28,0,9810.67596839813,0.0
Salto,UY-SA,2018,4,2018-01-22,2018-01-28,2,14170.87435119916,0.14113455178796058
San José,UY-SJ,2018,4,2018-01-22,2018-01-28,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2018,4,2018-01-22,2018-01-28,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2018,4,2018-01-22,2018-01-28,12,15973.367767510354,0.7512504673189746
Treinta y Tres,UY-TT,2018,4,2018-01-22,2018-01-28,0,9285.005878360264,0.0
Artigas,UY-AR,2018,5,2018-01-29,2018-02-04,0,12010.600679730765,0.0
Canelones,UY-CA,2018,5,2018-01-29,2018-02-04,1,4520.87871068126,0.22119593645309454
Cerro Largo,UY-CL,2018,5,2018-01-29,2018-02-04,1,13655.557447815512,0.07323025836341603
Colonia,UY-CO,2018,5,2018-01-29,2018-02-04,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2018,5,2018-01-29,2018-02-04,0,12228.10425056514,0.0
Flores,UY-FS,2018,5,2018-01-29,2018-02-04,0,5140.77049712524,0.0
Florida,UY-FD,2018,5,2018-01-29,2018-02-04,1,10405.572253242583,0.09610235512884745
Lavalleja,UY-LA,2018,5,2018-01-29,2018-02-04,2,10031.272844140674,0.19937649300090682
Maldonado,UY-MA,2018,5,2018-01-29,2018-02-04,2,4803.260185508939,0.4163838565384911
Montevideo,UY-MO,2018,5,2018-01-29,2018-02-04,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,5,2018-01-29,2018-02-04,0,14088.526169172621,0.0
Rivera,UY-RV,2018,5,2018-01-29,2018-02-04,0,9329.550532265199,0.0
Rocha,UY-RO,2018,5,2018-01-29,2018-02-04,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2018,5,2018-01-29,2018-02-04,0,9810.67596839813,0.0
Salto,UY-SA,2018,5,2018-01-29,2018-02-04,1,14170.87435119916,0.07056727589398029
San José,UY-SJ,2018,5,2018-01-29,2018-02-04,0,5002.920653176918,0.0
Soriano,UY-SO,2018,5,2018-01-29,2018-02-04,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,5,2018-01-29,2018-02-04,18,15973.367767510354,1.126875700978462
Treinta y Tres,UY-TT,2018,5,2018-01-29,2018-02-04,3,9285.005878360264,0.32310157250323696
Artigas,UY-AR,2018,6,2018-02-05,2018-02-11,0,12010.600679730765,0.0
Canelones,UY-CA,2018,6,2018-02-05,2018-02-11,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,6,2018-02-05,2018-02-11,1,13655.557447815512,0.07323025836341603
Colonia,UY-CO,2018,6,2018-02-05,2018-02-11,0,6112.026851866528,0.0
Durazno,UY-DU,2018,6,2018-02-05,2018-02-11,0,12228.10425056514,0.0
Flores,UY-FS,2018,6,2018-02-05,2018-02-11,0,5140.77049712524,0.0
Florida,UY-FD,2018,6,2018-02-05,2018-02-11,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,6,2018-02-05,2018-02-11,2,10031.272844140674,0.19937649300090682
