departamento,departamento_iso,shapeID,superficie_km2
Artigas,UY-AR,27058087B22084813565519,12010.600679730765
Canelones,UY-CA,27058087B19329078127106,4520.87871068126
Cerro Largo,UY-CL,27058087B72518212949854,13655.557447815512
Colonia,UY-CO,27058087B79494286721501,6112.026851866528
Durazno,UY-DU,27058087B99783771080652,12228.10425056514
Flores,UY-FS,27058087B64628270573025,5140.77049712524
Florida,UY-FD,27058087B4606463382645,10405.572253242583
Lavalleja,UY-LA,27058087B10223787783888,10031.272844140674
Maldonado,UY-MA,27058087B438131503863,4803.260185508939
Montevideo,UY-MO,27058087B97113143242340,527.7536386520376
Paysandú,UY-PA,27058087B55907822213987,14088.526169172621
Rivera,UY-RV,27058087B52084370772895,9329.550532265199
Rocha,UY-RO,27058087B55390925666910,10558.553826772255
Río Negro,UY-RN,27058087B51576366641273,9810.67596839813
Salto,UY-SA,27058087B51474914010310,14170.87435119916
San José,UY-SJ,27058087B9919519605551,5002.920653176918
Soriano,UY-SO,27058087B69444591785940,9122.538742945157
Tacuarembó,UY-TA,27058087B78128732832923,15973.367767510354
Treinta y Tres,UY-TT,27058087B85503990233673,9285.005878360264
