departamento,filas,semanas,target_disponible,target_no_disponible,cobertura_target_pct
Artigas,469,469,417,52,88.91257995735607
Canelones,469,469,417,52,88.91257995735607
Cerro Largo,469,469,417,52,88.91257995735607
Colonia,469,469,417,52,88.91257995735607
Durazno,469,469,417,52,88.91257995735607
Flores,469,469,417,52,88.91257995735607
Florida,469,469,417,52,88.91257995735607
Lavalleja,469,469,417,52,88.91257995735607
Maldonado,469,469,417,52,88.91257995735607
Montevideo,469,469,417,52,88.91257995735607
Paysandú,469,469,417,52,88.91257995735607
Rivera,469,469,417,52,88.91257995735607
Rocha,469,469,417,52,88.91257995735607
Río Negro,469,469,417,52,88.91257995735607
Salto,469,469,417,52,88.91257995735607
San José,469,469,417,52,88.91257995735607
Soriano,469,469,417,52,88.91257995735607
Tacuarembó,469,469,417,52,88.91257995735607
Treinta y Tres,469,469,417,52,88.91257995735607
