columna,rol,nulos_target_disponible,nulos_target_no_disponible,nulos_totales,nulos_esperados,nulos_no_esperados
departamento,identificador_control,0,0,0,0,0
departamento_iso,identificador_control,0,0,0,0,0
fecha_inicio_semana,identificador_control,0,0,0,0,0
fecha_fin_semana,identificador_control,0,0,0,0,0
anio,identificador_control,0,0,0,0,0
numero_semana,identificador_control,0,0,0,0,0
n_dias_esperados,identificador_control,0,0,0,0,0
n_dias_observados,identificador_control,0,0,0,0,0
cobertura_temporal_pct,identificador_control,0,0,0,0,0
cobertura_espacial_min_pct,identificador_control,0,0,0,0,0
precipitation_days_weekly,meteorologia,0,0,0,0,0
temperature_2m_max_mean_weekly,meteorologia,0,0,0,0,0
temperature_2m_max_weekly,meteorologia,0,0,0,0,0
temperature_2m_min_mean_weekly,meteorologia,0,0,0,0,0
temperature_2m_min_weekly,meteorologia,0,0,0,0,0
relative_humidity_2m_min_mean_weekly,meteorologia,0,0,0,0,0
relative_humidity_2m_min_weekly,meteorologia,0,0,0,0,0
relative_humidity_2m_max_mean_weekly,meteorologia,0,0,0,0,0
relative_humidity_2m_max_weekly,meteorologia,0,0,0,0,0
wind_speed_10m_max_mean_weekly,meteorologia,0,0,0,0,0
wind_speed_10m_max_weekly,meteorologia,0,0,0,0,0
precipitation_sum_weekly,meteorologia,0,0,0,0,0
precipitation_max_daily_weekly,meteorologia,0,0,0,0,0
et0_fao_evapotranspiration_sum_weekly,meteorologia,0,0,0,0,0
et0_fao_evapotranspiration_max_daily_weekly,meteorologia,0,0,0,0,0
wind_direction_10m_resultant_length_spatial_daily_mean_weekly,meteorologia,0,0,0,0,0
wind_direction_10m_dominant_circular_mean_weekly,meteorologia,0,0,0,0,0
wind_direction_10m_resultant_length_weekly,meteorologia,0,0,0,0,0
cantidad_detecciones,target,0,988,988,988,0
nivel_actividad_firms,target,0,988,988,988,0
nivel_actividad_firms_codigo,target,0,988,988,988,0
target_firms_disponible,identificador_control,0,0,0,0,0
