departamento,departamento_iso,fecha_inicio_semana,fecha_fin_semana,anio,numero_semana,n_dias_esperados,n_dias_observados,cobertura_temporal_pct,cobertura_espacial_min_pct,precipitation_days_weekly,temperature_2m_max_mean_weekly,temperature_2m_max_weekly,temperature_2m_min_mean_weekly,temperature_2m_min_weekly,relative_humidity_2m_min_mean_weekly,relative_humidity_2m_min_weekly,relative_humidity_2m_max_mean_weekly,relative_humidity_2m_max_weekly,wind_speed_10m_max_mean_weekly,wind_speed_10m_max_weekly,precipitation_sum_weekly,precipitation_max_daily_weekly,et0_fao_evapotranspiration_sum_weekly,et0_fao_evapotranspiration_max_daily_weekly,wind_direction_10m_resultant_length_spatial_daily_mean_weekly,wind_direction_10m_dominant_circular_mean_weekly,wind_direction_10m_resultant_length_weekly
Artigas,UY-AR,2017-01-02,2017-01-08,2017,1,7,7,100.0,100.0,6,30.09897959183673,34.3,22.496938775510205,17.5,61.183673469387756,49,90.17346938775509,96,5.682142857142857,7.85,16.414285714285715,7.192857142857143,33.16571428571428,6.92,0.9895929045610868,54.172100576403174,0.6785832665093774
Artigas,UY-AR,2017-01-09,2017-01-15,2017,2,7,7,100.0,100.0,5,30.71734693877551,33.8,21.640816326530615,17.4,58.1530612244898,44,91.98979591836735,99,5.038469387755102,6.73,67.99285714285713,33.128571428571426,35.36642857142857,6.89,0.9873095187103454,76.03662775853381,0.6813460153515799
Artigas,UY-AR,2017-01-16,2017-01-22,2017,3,7,7,100.0,100.0,2,29.448979591836736,32.0,19.744897959183675,17.6,50.255102040816325,37,90.58163265306122,100,5.390816326530612,7.53,30.6,30.085714285714285,41.07214285714286,7.21,0.9945698613467702,106.70446537585829,0.4487030302746052
Artigas,UY-AR,2017-01-23,2017-01-29,2017,4,7,7,100.0,100.0,3,28.085714285714285,32.7,18.137755102040817,13.9,44.96938775510204,36,86.34693877551021,99,5.106428571428572,8.05,5.2785714285714285,5.078571428571428,40.637142857142855,7.05,0.9875912369955128,109.1255187212967,0.46033071348304844
Artigas,UY-AR,2017-01-30,2017-02-05,2017,5,7,7,100.0,100.0,6,30.06734693877551,33.6,21.218367346938773,18.1,53.255102040816325,38,94.25510204081631,99,4.8493877551020415,8.11,47.535714285714285,30.721428571428568,36.067142857142855,6.82,0.9961773537970195,67.48316485342465,0.3609548645698158
Artigas,UY-AR,2017-02-06,2017-02-12,2017,6,7,7,100.0,100.0,5,27.2,31.8,18.5,13.1,57.42857142857143,41,87.83673469387756,100,4.777755102040816,6.99,50.15714285714286,23.87857142857143,30.431428571428572,5.98,0.9764913955112294,91.64448361875937,0.6324285852051817
Artigas,UY-AR,2017-02-13,2017-02-19,2017,7,7,7,100.0,100.0,6,28.918367346938776,33.2,20.803061224489795,18.7,65.21428571428571,55,96.34693877551021,99,4.847857142857143,6.6,50.45714285714286,22.778571428571432,26.952142857142857,4.81,0.9873014599368243,344.9983721436081,0.37209301413725804
Artigas,UY-AR,2017-02-20,2017-02-26,2017,8,7,7,100.0,100.0,6,30.84795918367347,32.3,22.124489795918368,19.9,60.07142857142857,45,95.29591836734694,100,3.3329591836734695,4.6,14.014285714285716,5.714285714285714,33.37357142857143,6.12,0.9900698232062323,92.87470557014348,0.4634547220770037
Artigas,UY-AR,2017-02-27,2017-03-05,2017,9,7,7,100.0,100.0,5,29.679591836734694,32.4,21.486734693877548,17.0,58.33673469387755,45,91.51020408163265,98,4.732755102040817,7.3,11.121428571428572,4.671428571428572,31.272142857142857,5.8,0.9675966038645214,71.1800704810243,0.4854254713974457
Artigas,UY-AR,2017-03-06,2017-03-12,2017,10,7,7,100.0,100.0,4,27.944897959183674,32.2,18.286734693877552,13.5,48.95918367346939,33,92.33673469387756,99,6.331224489795919,8.24,100.05000000000001,63.721428571428575,31.47714285714286,6.44,0.997820832086645,98.58012876501616,0.6340559174571387
