frecuencia,departamento,departamento_iso,punto,latitud,longitud,fecha_min,fecha_max,registros,timestamps_unicos,periodo_esperado_entre_extremos,completitud_entre_extremos_pct,periodo_esperado_bloque_completo,completitud_bloque_completo_pct
diaria,Canelones,UY-CA,Canelones,-34.52,-56.28,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Cerro Largo,UY-CL,Melo,-32.37,-54.18,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Colonia,UY-CO,Colonia_del_Sacramento,-34.46,-57.84,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Durazno,UY-DU,Durazno,-33.38,-56.52,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Florida,UY-FD,Florida,-34.1,-56.21,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Maldonado,UY-MA,Maldonado,-34.91,-54.96,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Montevideo,UY-MO,Montevideo,-34.9,-56.19,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Paysandú,UY-PA,Paysandu,-32.32,-58.08,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Rocha,UY-RO,Rocha,-34.48,-54.33,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Salto,UY-SA,Salto,-31.38,-57.97,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Tacuarembó,UY-TA,Rivera,-31.38,-55.98,2024-01-01 00:00:00+00:00,2024-03-31 00:00:00+00:00,91,91,91,100.0,2557,3.5588580367618308
diaria,Tacuarembó,UY-TA,Tacuarembo,-31.73,-55.98,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
diaria,Treinta y Tres,UY-TT,Treinta_y_Tres,-33.23,-54.38,2018-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,2557,2557,2557,100.0,2557,100.0
horaria,Artigas,UY-AR,Artigas,-30.4,-56.47,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Canelones,UY-CA,Canelones,-34.52,-56.28,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Cerro Largo,UY-CL,Cerro_Largo,-32.37,-54.17,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Colonia,UY-CO,Colonia,-34.47,-57.84,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Durazno,UY-DU,Durazno,-33.41,-56.5,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Flores,UY-FS,Flores,-33.54,-56.89,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Florida,UY-FD,Florida,-34.1,-56.21,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Lavalleja,UY-LA,Lavalleja,-34.37,-55.23,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Maldonado,UY-MA,Maldonado,-34.9,-54.95,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Montevideo,UY-MO,Montevideo,-34.9,-56.16,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
horaria,Paysandú,UY-PA,Paysandu,-32.32,-58.08,2025-01-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,8760,8760,8760,100.0,8760,100.0
