departamento,fecha_inicio_semana,dias_cubiertos,bloques,semana_temporalmente_completa
Artigas,2024-12-30,5,horario,False
Artigas,2025-01-06,7,horario,True
Artigas,2025-01-13,7,horario,True
Artigas,2025-01-20,7,horario,True
Artigas,2025-01-27,7,horario,True
Artigas,2025-02-03,7,horario,True
Artigas,2025-02-10,7,horario,True
Artigas,2025-02-17,7,horario,True
Artigas,2025-02-24,7,horario,True
Artigas,2025-03-03,7,horario,True
Artigas,2025-03-10,7,horario,True
Artigas,2025-03-17,7,horario,True
Artigas,2025-03-24,7,horario,True
Artigas,2025-03-31,7,horario,True
Artigas,2025-04-07,7,horario,True
Artigas,2025-04-14,7,horario,True
Artigas,2025-04-21,7,horario,True
Artigas,2025-04-28,7,horario,True
Artigas,2025-05-05,7,horario,True
Artigas,2025-05-12,7,horario,True
Artigas,2025-05-19,7,horario,True
Artigas,2025-05-26,7,horario,True
Artigas,2025-06-02,7,horario,True
Artigas,2025-06-09,7,horario,True
Artigas,2025-06-16,7,horario,True
Artigas,2025-06-23,7,horario,True
Artigas,2025-06-30,7,horario,True
Artigas,2025-07-07,7,horario,True
Artigas,2025-07-14,7,horario,True
Artigas,2025-07-21,7,horario,True
Artigas,2025-07-28,7,horario,True
Artigas,2025-08-04,7,horario,True
Artigas,2025-08-11,7,horario,True
Artigas,2025-08-18,7,horario,True
Artigas,2025-08-25,7,horario,True
Artigas,2025-09-01,7,horario,True
Artigas,2025-09-08,7,horario,True
Artigas,2025-09-15,7,horario,True
Artigas,2025-09-22,7,horario,True
Artigas,2025-09-29,7,horario,True
Artigas,2025-10-06,7,horario,True
Artigas,2025-10-13,7,horario,True
Artigas,2025-10-20,7,horario,True
Artigas,2025-10-27,7,horario,True
Artigas,2025-11-03,7,horario,True
Artigas,2025-11-10,7,horario,True
Artigas,2025-11-17,7,horario,True
Artigas,2025-11-24,7,horario,True
Artigas,2025-12-01,7,horario,True
Artigas,2025-12-08,7,horario,True
Artigas,2025-12-15,7,horario,True
Artigas,2025-12-22,7,horario,True
Artigas,2025-12-29,3,horario,False
Canelones,2018-01-01,7,diario,True
Canelones,2018-01-08,7,diario,True
Canelones,2018-01-15,7,diario,True
Canelones,2018-01-22,7,diario,True
Canelones,2018-01-29,7,diario,True
Canelones,2018-02-05,7,diario,True
Canelones,2018-02-12,7,diario,True
Canelones,2018-02-19,7,diario,True
Canelones,2018-02-26,7,diario,True
Canelones,2018-03-05,7,diario,True
Canelones,2018-03-12,7,diario,True
Canelones,2018-03-19,7,diario,True
Canelones,2018-03-26,7,diario,True
Canelones,2018-04-02,7,diario,True
Canelones,2018-04-09,7,diario,True
Canelones,2018-04-16,7,diario,True
Canelones,2018-04-23,7,diario,True
Canelones,2018-04-30,7,diario,True
Canelones,2018-05-07,7,diario,True
Canelones,2018-05-14,7,diario,True
Canelones,2018-05-21,7,diario,True
Canelones,2018-05-28,7,diario,True
Canelones,2018-06-04,7,diario,True
Canelones,2018-06-11,7,diario,True
Canelones,2018-06-18,7,diario,True
Canelones,2018-06-25,7,diario,True
Canelones,2018-07-02,7,diario,True
Canelones,2018-07-09,7,diario,True
Canelones,2018-07-16,7,diario,True
Canelones,2018-07-23,7,diario,True
Canelones,2018-07-30,7,diario,True
Canelones,2018-08-06,7,diario,True
Canelones,2018-08-13,7,diario,True
Canelones,2018-08-20,7,diario,True
Canelones,2018-08-27,7,diario,True
Canelones,2018-09-03,7,diario,True
Canelones,2018-09-10,7,diario,True
Canelones,2018-09-17,7,diario,True
Canelones,2018-09-24,7,diario,True
Canelones,2018-10-01,7,diario,True
Canelones,2018-10-08,7,diario,True
Canelones,2018-10-15,7,diario,True
Canelones,2018-10-22,7,diario,True
Canelones,2018-10-29,7,diario,True
Canelones,2018-11-05,7,diario,True
Canelones,2018-11-12,7,diario,True
Canelones,2018-11-19,7,diario,True
Canelones,2018-11-26,7,diario,True
Canelones,2018-12-03,7,diario,True
Canelones,2018-12-10,7,diario,True
