departamento,observaciones_firms,observaciones_cubiertas,observaciones_sin_meteo_completo,porcentaje_cubierto
Artigas,417,51,366,12.23021582733813
Canelones,417,417,0,100.0
Cerro Largo,417,417,0,100.0
Colonia,417,417,0,100.0
Durazno,417,417,0,100.0
Flores,417,51,366,12.23021582733813
Florida,417,417,0,100.0
Lavalleja,417,51,366,12.23021582733813
Maldonado,417,417,0,100.0
Montevideo,417,417,0,100.0
Paysandú,417,417,0,100.0
Rivera,417,51,366,12.23021582733813
Rocha,417,417,0,100.0
Río Negro,417,51,366,12.23021582733813
Salto,417,417,0,100.0
San José,417,51,366,12.23021582733813
Soriano,417,51,366,12.23021582733813
Tacuarembó,417,417,0,100.0
Treinta y Tres,417,417,0,100.0
