variable,unidad,estado_unidad,frecuencia,tipo_variable,dtype,observaciones_aplicables,nulos_en_bloque_aplicable,porcentaje_nulos_en_bloque_aplicable,minimo,maximo,media,observaciones
temperature_2m_max,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,7.1,41.5,22.218667749796914,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
temperature_2m_min,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,-3.2,29.1,13.543688058489034,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
relative_humidity_2m_min,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,11.0,98.0,56.24240454914703,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
relative_humidity_2m_max,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,34.0,100.0,89.97985377741674,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
wind_speed_10m_max,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,6.9,62.9,20.979636068237205,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
wind_direction_10m_dominant,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,0.0,360.0,145.8973517465475,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
precipitation_sum,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,0.0,148.6,3.181439480097482,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
et0_fao_evapotranspiration,pendiente,no verificable sin código/metadata de extracción,diaria,meteorológica,float64,30775,0,0.0,0.24,10.72,3.4126615759545085,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
riesgo_temp,sin unidad documentada,no verificable sin código/metadata de extracción,diaria,derivada heredada,float64,30775,0,0.0,0.0,0.9814814814814815,0.278917712188224,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
riesgo_humedad,sin unidad documentada,no verificable sin código/metadata de extracción,diaria,derivada heredada,float64,30775,0,0.0,0.0,0.9857142857142858,0.34263896947893696,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
riesgo_viento,sin unidad documentada,no verificable sin código/metadata de extracción,diaria,derivada heredada,float64,30775,0,0.0,0.08625000000000001,0.78625,0.2622454508529651,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
riesgo_sequia,sin unidad documentada,no verificable sin código/metadata de extracción,diaria,derivada heredada,float64,30775,0,0.0,0.03,1.0,0.4258836311941511,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
indice_riesgo,sin unidad documentada,no verificable sin código/metadata de extracción,diaria,derivada heredada,float64,30775,0,0.0,0.0383,0.8296,0.33144123476848086,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
nivel_riesgo,categoría sin definición local,no verificable sin código/metadata de extracción,diaria,derivada heredada,string,30775,0,0.0,,,,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
temperature_2m,pendiente,no verificable sin código/metadata de extracción,horaria,meteorológica,float64,166440,0,0.0,-4.4,40.9,17.528734679163662,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
relative_humidity_2m,pendiente,no verificable sin código/metadata de extracción,horaria,meteorológica,float64,166440,0,0.0,16.0,100.0,75.14864816149964,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
wind_speed_10m,pendiente,no verificable sin código/metadata de extracción,horaria,meteorológica,float64,166440,0,0.0,0.0,61.3,12.344864215332853,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
wind_direction_10m,pendiente,no verificable sin código/metadata de extracción,horaria,meteorológica,float64,166440,0,0.0,0.0,360.0,143.68680004806538,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
rain,pendiente,no verificable sin código/metadata de extracción,horaria,meteorológica,float64,166440,0,0.0,0.0,24.6,0.12136806056236482,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
surface_pressure,pendiente,no verificable sin código/metadata de extracción,horaria,meteorológica,float64,166440,0,0.0,974.1,1034.9,1007.8819580629657,Nulos del archivo combinado fuera del bloque aplicable son estructurales por cambio de esquema.
