punto,latitud,longitud,departamento,departamento_iso,distancia_limite_departamental_km
Rivera,-31.38,-55.98,Tacuarembó,UY-TA,6.431803126162821
Canelones,-34.52,-56.28,Canelones,UY-CA,10.297037522418355
Melo,-32.37,-54.18,Cerro Largo,UY-CL,40.102567055669724
Colonia_del_Sacramento,-34.46,-57.84,Colonia,UY-CO,0.369513512958123
Durazno,-33.38,-56.52,Durazno,UY-DU,6.173389774928928
Rocha,-34.48,-54.33,Rocha,UY-RO,17.169547701697034
Salto,-31.38,-57.97,Salto,UY-SA,0.8069905431857944
Florida,-34.1,-56.21,Florida,UY-FD,17.439805637294214
Maldonado,-34.91,-54.96,Maldonado,UY-MA,1.6228220503653916
Montevideo,-34.9,-56.19,Montevideo,UY-MO,0.7345910243138539
Paysandu,-32.32,-58.08,Paysandú,UY-PA,2.5993192352028713
Tacuarembo,-31.73,-55.98,Tacuarembó,UY-TA,27.331243127342688
Treinta_y_Tres,-33.23,-54.38,Treinta y Tres,UY-TT,14.421351559132676
Montevideo,-34.9,-56.16,Montevideo,UY-MO,1.9307549183457575
Maldonado,-34.9,-54.95,Maldonado,UY-MA,3.0590656985606035
Cerro_Largo,-32.37,-54.17,Cerro Largo,UY-CL,40.422571896761596
Rivera,-30.9,-55.55,Rivera,UY-RV,1.0841239605901578
Artigas,-30.4,-56.47,Artigas,UY-AR,1.2283417098401341
Rio_Negro,-33.12,-58.31,Río Negro,UY-RN,1.8837083811453927
Soriano,-33.25,-58.03,Soriano,UY-SO,0.9769022361642392
Colonia,-34.47,-57.84,Colonia,UY-CO,0.30631284440106565
San_Jose,-34.34,-56.71,San José,UY-SJ,22.097951902356073
Flores,-33.54,-56.89,Flores,UY-FS,26.160948659435384
Durazno,-33.41,-56.5,Durazno,UY-DU,5.888577594743707
Lavalleja,-34.37,-55.23,Lavalleja,UY-LA,15.268357659209975
