variable,min,p01,p05,media,mediana,desviacion_estandar,p95,p99,max,nulos
temperature_2m_max_mean_spatial,5.64,9.75,12.216359649122808,22.12933330372878,22.27,6.05803261300046,31.96666666666667,34.9705827067669,39.65,0
temperature_2m_max_max_spatial,5.9,10.2,12.7,22.767846045423966,22.9,6.153220637368241,32.8,35.8,40.6,0
temperature_2m_min_mean_spatial,-3.357142857142857,1.3105823529411766,3.96,13.09530941929499,13.366666666666667,5.415705328789286,21.43594155844156,23.857142857142858,29.0,0
temperature_2m_min_min_spatial,-4.1,0.5,3.2,12.39447096133517,12.7,5.440267754827095,20.8,23.1,28.2,0
relative_humidity_2m_min_mean_spatial,15.4,24.65352941176471,32.6,55.323693509595095,54.9375,13.864239206476077,79.33333333333333,88.3728289473684,97.22222222222223,0
relative_humidity_2m_min_min_spatial,13.0,22.0,30.0,52.57540763045776,52.0,13.782128680072454,76.0,86.0,96.0,0
relative_humidity_2m_max_mean_spatial,41.125,65.125,74.91666666666667,90.41448240475749,92.5,7.592171292350289,99.0,99.88888888888889,100.0,0
relative_humidity_2m_max_max_spatial,49.0,69.0,78.0,92.54249287247333,94.0,6.849042788999631,100.0,100.0,100.0,0
wind_speed_10m_max_mean_spatial,1.809,2.5295214285714285,3.0139889705882354,5.511412547774459,5.333,1.7086203147686587,8.590714285714286,10.242382142857142,18.63125,0
wind_speed_10m_max_max_spatial,1.92,2.78,3.36,5.98208267930935,5.8,1.8043598424117082,9.24,11.01,21.59,0
precipitation_sum_mean_spatial,0.0,0.0,0.0,3.028926858277045,0.0,8.137039006398894,18.728749999999987,41.383871428571396,135.9,0
precipitation_sum_max_spatial,0.0,0.0,0.0,4.3573950091296405,0.0,10.9309631485853,26.0,54.2,170.4,0
et0_fao_evapotranspiration_mean_spatial,0.2285714285714286,0.5266666666666667,0.9611111111111111,3.4257058244918945,3.05,1.8934705074123677,6.827500000000001,7.969029166666665,11.111875,0
et0_fao_evapotranspiration_max_spatial,0.24,0.62,1.09,3.615445430374476,3.24,1.9436989996242018,7.08,8.28,11.64,0
wind_direction_10m_dominant_circular_mean,0.0,3.8675330614158483,16.766877604905517,141.66659856962053,119.12391990580362,97.55898505334376,335.0,355.8805944791722,359.9929464419023,0
wind_direction_10m_resultant_length,0.02539872889897671,0.7959611320594489,0.966485202604424,0.9896239828970929,0.9983101392287728,0.04535110046394629,1.0,1.0,1.0,0
