departamento,n_puntos,dias,fecha_min,fecha_max,cobertura_min_pct,nulos,temperature_2m_max_mean_spatial_min,temperature_2m_max_mean_spatial_max,temperature_2m_min_mean_spatial_min,temperature_2m_min_mean_spatial_max,relative_humidity_2m_min_mean_spatial_min,relative_humidity_2m_min_mean_spatial_max,wind_speed_10m_max_mean_spatial_min,wind_speed_10m_max_mean_spatial_max,precipitation_sum_mean_spatial_min,precipitation_sum_mean_spatial_max,et0_fao_evapotranspiration_mean_spatial_min,et0_fao_evapotranspiration_mean_spatial_max
Artigas,14,3286,2017-01-02,2025-12-31,100.0,0,7.671428571428572,38.90714285714286,-2.492857142857143,28.892857142857142,15.857142857142858,93.71428571428571,1.9385714285714286,12.955714285714285,0.0,80.10000000000001,0.37285714285714283,10.539285714285715
Canelones,3,3286,2017-01-02,2025-12-31,100.0,0,6.066666666666666,39.333333333333336,-2.1333333333333333,27.099999999999998,17.333333333333332,95.33333333333333,1.9000000000000001,14.716666666666667,0.0,99.43333333333334,0.25333333333333335,9.113333333333333
Cerro Largo,14,3286,2017-01-02,2025-12-31,100.0,0,6.678571428571429,37.57857142857143,-2.2785714285714285,26.792857142857144,22.571428571428573,94.85714285714286,2.0664285714285713,13.324285714285713,0.0,87.48571428571428,0.28285714285714286,8.464285714285714
Colonia,7,3286,2017-01-02,2025-12-31,100.0,0,5.714285714285714,39.628571428571426,-3.357142857142857,27.457142857142856,16.428571428571427,94.85714285714286,2.0228571428571427,15.207142857142857,0.0,96.17142857142858,0.2285714285714286,10.301428571428572
Durazno,12,3286,2017-01-02,2025-12-31,100.0,0,6.116666666666667,38.78333333333333,-2.7916666666666665,26.95,16.333333333333332,96.16666666666667,2.1149999999999998,13.125,0.0,93.40833333333332,0.27,9.463333333333333
Flores,5,3286,2017-01-02,2025-12-31,100.0,0,5.64,39.160000000000004,-2.94,26.119999999999997,16.0,95.4,1.916,14.006,0.0,80.26,0.252,9.692
Florida,10,3286,2017-01-02,2025-12-31,100.0,0,5.7299999999999995,38.55,-2.69,26.49,15.4,96.5,1.975,13.857,0.0,103.22999999999999,0.257,8.947
Lavalleja,12,3286,2017-01-02,2025-12-31,100.0,0,5.966666666666666,37.791666666666664,-1.55,25.566666666666666,17.083333333333332,95.83333333333333,1.9933333333333332,13.353333333333333,0.0,78.71666666666665,0.24,8.199166666666667
Maldonado,3,3286,2017-01-02,2025-12-31,100.0,0,6.333333333333333,36.300000000000004,0.03333333333333336,26.900000000000002,25.666666666666668,94.66666666666667,2.21,15.793333333333335,0.0,77.26666666666667,0.3166666666666667,8.76
Montevideo,1,3286,2017-01-02,2025-12-31,100.0,0,6.1,36.8,-0.3,27.3,26.0,96.0,1.92,14.48,0.0,92.8,0.3,9.16
Paysandú,16,3286,2017-01-02,2025-12-31,100.0,0,7.425,39.1875,-2.825,29.0,16.375,94.6875,2.0425,14.135,0.0,93.6375,0.2775,11.111875
Rivera,11,3286,2017-01-02,2025-12-31,100.0,0,6.909090909090909,37.70909090909091,-2.3272727272727276,27.027272727272727,19.0,95.81818181818181,2.1454545454545455,11.840909090909092,0.0,95.41818181818181,0.27636363636363637,9.05909090909091
Rocha,12,3286,2017-01-02,2025-12-31,100.0,0,7.383333333333333,37.175000000000004,-1.2249999999999999,25.458333333333332,23.75,93.83333333333333,1.8175,14.280000000000001,0.0,70.76666666666667,0.33,8.48
Río Negro,8,3286,2017-01-02,2025-12-31,100.0,0,6.4125,39.65,-2.6,27.75,15.875,95.125,2.01125,18.63125,0.0,135.9,0.30125,10.42375
Salto,17,3286,2017-01-02,2025-12-31,100.0,0,7.382352941176471,38.38235294117647,-2.6411764705882352,28.329411764705885,16.58823529411765,94.82352941176471,2.017058823529412,12.382352941176471,0.0,81.03529411764706,0.2882352941176471,10.91235294117647
San José,4,3286,2017-01-02,2025-12-31,100.0,0,5.975,39.525,-2.925,26.85,16.75,94.75,1.9175,15.165,0.0,82.55,0.255,9.805
Soriano,10,3286,2017-01-02,2025-12-31,100.0,0,6.01,39.58,-3.35,26.9,16.2,96.8,1.809,12.559000000000001,0.0,100.3,0.231,10.177
Tacuarembó,19,3286,2017-01-02,2025-12-31,100.0,0,6.510526315789474,38.32105263157895,-2.8157894736842106,27.91578947368421,21.157894736842106,93.63157894736842,2.076842105263158,13.10578947368421,0.0,80.69473684210527,0.2578947368421053,9.34421052631579
Treinta y Tres,9,3286,2017-01-02,2025-12-31,100.0,0,6.777777777777778,37.94444444444444,-1.3777777777777778,26.188888888888886,16.333333333333332,97.22222222222223,2.0877777777777777,14.063333333333333,0.0,77.13333333333334,0.2411111111111111,8.653333333333332
