variable,min,p01,p05,media,mediana,desviacion_estandar,p95,p99,max,nulos
precipitation_days_weekly,0.0,0.0,1.0,3.457973291437549,3.0,1.701587395062378,6.0,7.0,7.0,0
temperature_2m_max_mean_weekly,8.828571428571427,11.569714285714285,13.464236111111113,22.118948286992904,22.004761904761903,5.400339268504582,30.661352040816325,33.588218923933205,37.30204081632653,0
temperature_2m_max_weekly,10.3,14.6,17.1,26.532936819661092,26.5,5.499900856604932,35.1,37.8,40.6,0
temperature_2m_min_mean_weekly,-0.5914285714285715,3.279830827067669,5.641071428571429,13.088229886120898,13.126190476190475,4.732184773065787,20.514642857142857,22.456541353383454,26.0,0
temperature_2m_min_weekly,-4.1,-1.2899999999999991,0.6,8.690786668162945,8.7,5.210707201350942,17.0,19.7,22.4,0
relative_humidity_2m_min_mean_weekly,21.5625,28.92295918367347,36.063265306122446,55.34577326717035,56.410714285714285,10.359556965428808,70.29875283446712,74.28571428571429,88.28571428571429,0
relative_humidity_2m_min_weekly,13.0,18.0,24.0,41.75053304904051,43.0,9.786809619732383,56.0,62.0,76.0,0
relative_humidity_2m_max_mean_weekly,62.377551020408156,74.9530612244898,80.86428571428573,90.4231996266301,91.52380952380952,4.836245008823594,96.21825396825396,97.48008658008658,99.48809523809523,0
relative_humidity_2m_max_weekly,80.0,89.0,94.0,98.16058803725733,99.0,2.368877862053968,100.0,100.0,100.0,0
wind_speed_10m_max_mean_weekly,2.8771428571428572,3.4773785714285714,4.03972619047619,5.51267145411808,5.494025974025974,0.8836031640077541,6.986493506493506,7.744392857142855,9.75095238095238,0
wind_speed_10m_max_weekly,3.58,4.891,5.8,8.288973179216699,8.16,1.6829060998853758,11.205,13.06,21.59,0
precipitation_sum_weekly,0.0,0.0,0.029411764705882353,21.221582677765166,12.341666666666667,25.106565845028662,71.15,111.65764705882349,200.35,0
precipitation_max_daily_weekly,0.0,0.0,0.02565789473684211,13.919705429530085,8.9375,15.267605293417144,44.68571428571428,67.38099999999997,135.9,0
et0_fao_evapotranspiration_sum_weekly,3.861666666666667,7.549813397129187,8.931428571428572,23.954819585031842,22.0325,11.760228719006982,44.65503759398496,51.055089285714274,62.95214285714286,0
et0_fao_evapotranspiration_max_daily_weekly,1.12,1.55,1.84,4.598403097295477,4.34,2.035397593670123,8.1,9.13,11.64,0
wind_direction_10m_resultant_length_spatial_daily_mean_weekly,0.7700902802902635,0.9052702505975854,0.9566402962258191,0.9896399651907046,0.9955595902155734,0.01776147237471522,1.0,1.0,1.0,0
wind_direction_10m_dominant_circular_mean_weekly,0.044893370679397276,5.490582918897109,22.890813634168516,130.81456953400695,103.71951388911182,91.56358451855208,332.83143107013234,354.91899256279476,359.97051473056126,0
wind_direction_10m_resultant_length_weekly,0.0074108400399598914,0.0636430042309182,0.13390121017095502,0.5091184677945374,0.5080115978426669,0.23090271864898576,0.8899713686810843,0.9735696697645642,0.9955393468221269,0
