departamento,semanas,fecha_min,fecha_max,cobertura_min_pct,nulos,temperature_2m_max_mean_weekly_min,temperature_2m_max_mean_weekly_max,temperature_2m_min_mean_weekly_min,temperature_2m_min_mean_weekly_max,wind_speed_10m_max_mean_weekly_min,wind_speed_10m_max_mean_weekly_max,precipitation_sum_weekly_min,precipitation_sum_weekly_max,et0_fao_evapotranspiration_sum_weekly_min,et0_fao_evapotranspiration_sum_weekly_max
Artigas,469,2017-01-02,2025-12-22,100.0,0,10.622448979591837,37.30204081632653,2.1612244897959187,26.0,3.3329591836734695,8.473979591836734,0.0,155.20000000000002,6.002142857142857,62.95214285714286
Canelones,469,2017-01-02,2025-12-22,100.0,0,9.376190476190477,34.66190476190476,0.39999999999999997,22.70952380952381,3.1676190476190476,8.244285714285715,0.0,165.03333333333333,4.066666666666666,52.89
Cerro Largo,469,2017-01-02,2025-12-22,100.0,0,9.990816326530611,34.53367346938775,1.4061224489795916,23.685714285714287,3.0753061224489793,7.906530612244898,0.0,144.7,5.854285714285714,51.72714285714286
Colonia,469,2017-01-02,2025-12-22,100.0,0,9.548979591836735,35.9204081632653,-0.49591836734693884,23.740816326530613,3.2269387755102037,8.018571428571429,0.0,179.1142857142857,4.75,57.50857142857143
Durazno,469,2017-01-02,2025-12-22,100.0,0,10.01547619047619,35.05833333333333,1.0380952380952382,23.24404761904762,3.337380952380953,8.266666666666667,0.0,174.85,4.740833333333333,54.7125
Flores,469,2017-01-02,2025-12-22,100.0,0,9.808571428571428,35.36857142857143,0.10285714285714287,23.0,3.1302857142857143,7.936,0.0,165.56,4.34,56.050000000000004
Florida,469,2017-01-02,2025-12-22,100.0,0,9.534285714285716,34.355714285714285,0.2642857142857143,22.34,3.1102857142857148,8.000142857142857,0.0,173.17000000000002,3.8890000000000002,52.628
Lavalleja,469,2017-01-02,2025-12-22,100.0,0,9.539285714285713,33.61071428571429,0.8416666666666667,22.303571428571427,3.0825,8.403571428571428,0.0,173.43333333333334,3.861666666666667,50.01
Maldonado,469,2017-01-02,2025-12-22,100.0,0,9.014285714285714,31.452380952380956,2.9857142857142853,22.457142857142856,3.591904761904762,9.75095238095238,0.0,171.36666666666667,4.76,49.156666666666666
Montevideo,469,2017-01-02,2025-12-22,100.0,0,8.828571428571427,32.5,2.457142857142857,23.25714285714286,3.3528571428571428,8.81,0.0,139.3,4.3999999999999995,51.89
Paysandú,469,2017-01-02,2025-12-22,100.0,0,9.613392857142857,37.27946428571429,1.0071428571428573,25.083928571428572,2.960982142857143,8.430803571428571,0.0,189.51875,6.505625,60.565
Rivera,469,2017-01-02,2025-12-22,100.0,0,9.638961038961039,35.602597402597404,1.9974025974025975,24.30909090909091,2.974805194805195,7.4314285714285715,0.0,167.1909090909091,5.59,54.84090909090909
Rocha,469,2017-01-02,2025-12-22,100.0,0,9.98452380952381,32.56785714285714,2.4083333333333337,23.183333333333334,2.9345238095238093,8.636190476190476,0.0,170.43333333333334,4.595833333333333,48.16916666666667
Río Negro,469,2017-01-02,2025-12-22,100.0,0,9.81607142857143,36.55714285714286,0.7910714285714285,24.383928571428573,2.8771428571428572,8.1525,0.0,200.35,5.5975,58.21124999999999
Salto,469,2017-01-02,2025-12-22,100.0,0,9.97983193277311,37.188235294117646,1.9941176470588236,24.97310924369748,3.144705882352941,8.453865546218486,0.0,167.72941176470587,6.7970588235294125,61.21411764705882
San José,469,2017-01-02,2025-12-22,100.0,0,9.575000000000001,35.464285714285715,-0.04285714285714289,22.989285714285717,3.3132142857142854,8.082142857142857,0.0,168.175,4.225,56.435
Soriano,469,2017-01-02,2025-12-22,100.0,0,10.271428571428572,36.387142857142855,-0.5914285714285715,24.212857142857143,2.9032857142857145,7.724142857142858,0.0,174.98,4.968,57.811
Tacuarembó,469,2017-01-02,2025-12-22,100.0,0,9.754135338345865,35.742105263157896,1.611278195488722,23.706766917293233,2.9078947368421053,7.746842105263157,0.0,148.9,6.286842105263158,54.92684210526316
Treinta y Tres,469,2017-01-02,2025-12-22,100.0,0,9.926984126984127,33.7952380952381,1.6285714285714283,23.26031746031746,2.886190476190476,8.300158730158731,0.0,140.67777777777778,5.291111111111111,50.511111111111106
