departamento,fecha_inicio_semana,departamento_iso,fecha_fin_semana,fecha_min_observada,fecha_max_observada,n_dias_observados
Artigas,2025-12-29,UY-AR,2026-01-04,2025-12-29,2025-12-31,3
Canelones,2025-12-29,UY-CA,2026-01-04,2025-12-29,2025-12-31,3
Cerro Largo,2025-12-29,UY-CL,2026-01-04,2025-12-29,2025-12-31,3
Colonia,2025-12-29,UY-CO,2026-01-04,2025-12-29,2025-12-31,3
Durazno,2025-12-29,UY-DU,2026-01-04,2025-12-29,2025-12-31,3
Flores,2025-12-29,UY-FS,2026-01-04,2025-12-29,2025-12-31,3
Florida,2025-12-29,UY-FD,2026-01-04,2025-12-29,2025-12-31,3
Lavalleja,2025-12-29,UY-LA,2026-01-04,2025-12-29,2025-12-31,3
Maldonado,2025-12-29,UY-MA,2026-01-04,2025-12-29,2025-12-31,3
Montevideo,2025-12-29,UY-MO,2026-01-04,2025-12-29,2025-12-31,3
Paysandú,2025-12-29,UY-PA,2026-01-04,2025-12-29,2025-12-31,3
Rivera,2025-12-29,UY-RV,2026-01-04,2025-12-29,2025-12-31,3
Rocha,2025-12-29,UY-RO,2026-01-04,2025-12-29,2025-12-31,3
Río Negro,2025-12-29,UY-RN,2026-01-04,2025-12-29,2025-12-31,3
Salto,2025-12-29,UY-SA,2026-01-04,2025-12-29,2025-12-31,3
San José,2025-12-29,UY-SJ,2026-01-04,2025-12-29,2025-12-31,3
Soriano,2025-12-29,UY-SO,2026-01-04,2025-12-29,2025-12-31,3
Tacuarembó,2025-12-29,UY-TA,2026-01-04,2025-12-29,2025-12-31,3
Treinta y Tres,2025-12-29,UY-TT,2026-01-04,2025-12-29,2025-12-31,3
