departamento,departamento_iso,cantidad_coordenadas,puntos_grilla,puntos_fallback
Artigas,UY-AR,19,19,0
Canelones,UY-CA,7,7,0
Cerro Largo,UY-CL,22,22,0
Colonia,UY-CO,10,10,0
Durazno,UY-DU,20,20,0
Flores,UY-FS,9,9,0
Florida,UY-FD,17,17,0
Lavalleja,UY-LA,15,15,0
Maldonado,UY-MA,8,8,0
Montevideo,UY-MO,1,1,0
Paysandú,UY-PA,22,22,0
Rivera,UY-RV,15,15,0
Rocha,UY-RO,15,15,0
Río Negro,UY-RN,18,18,0
Salto,UY-SA,23,23,0
San José,UY-SJ,6,6,0
Soriano,UY-SO,15,15,0
Tacuarembó,UY-TA,26,26,0
Treinta y Tres,UY-TT,15,15,0
