coordenada_id,departamento,fecha_min,fecha_max,dias_observados,dias_esperados,dias_faltantes,porcentaje_completitud
URY_AR_G_E450000_N6600000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E450000_N6625000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E475000_N6600000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E475000_N6625000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E500000_N6575000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E500000_N6600000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E500000_N6625000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E500000_N6650000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E525000_N6575000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E525000_N6600000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E525000_N6625000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E525000_N6650000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E550000_N6600000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_AR_G_E550000_N6625000,Artigas,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CA_G_E575000_N6175000,Canelones,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CA_G_E600000_N6175000,Canelones,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CA_G_E625000_N6175000,Canelones,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E675000_N6375000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E700000_N6375000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E700000_N6400000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E725000_N6400000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E725000_N6425000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E750000_N6400000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E750000_N6425000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E750000_N6450000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E750000_N6475000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E775000_N6400000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E775000_N6425000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E775000_N6450000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E800000_N6400000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CL_G_E800000_N6425000,Cerro Largo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E400000_N6250000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E425000_N6200000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E425000_N6225000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E450000_N6200000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E450000_N6225000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E475000_N6200000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_CO_G_E475000_N6225000,Colonia,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E525000_N6350000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E550000_N6325000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E550000_N6350000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E575000_N6325000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E575000_N6350000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E600000_N6325000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_DU_G_E600000_N6350000,Durazno,2017-01-02,2025-12-31,3286,3286,0,100.0
