departamento,coordenadas,filas_obtenidas,filas_esperadas,porcentaje_completitud,nulos_variables,fechas_faltantes,puntos_con_problemas
Artigas,14,46004,46004,100.0,0,0,0
Canelones,3,9858,9858,100.0,0,0,0
Cerro Largo,14,46004,46004,100.0,0,0,0
Colonia,7,23002,23002,100.0,0,0,0
Durazno,12,39432,39432,100.0,0,0,0
Flores,5,16430,16430,100.0,0,0,0
Florida,10,32860,32860,100.0,0,0,0
Lavalleja,12,39432,39432,100.0,0,0,0
Maldonado,3,9858,9858,100.0,0,0,0
Montevideo,1,3286,3286,100.0,0,0,0
Paysandú,16,52576,52576,100.0,0,0,0
Rivera,11,36146,36146,100.0,0,0,0
Rocha,12,39432,39432,100.0,0,0,0
Río Negro,8,26288,26288,100.0,0,0,0
Salto,17,55862,55862,100.0,0,0,0
San José,4,13144,13144,100.0,0,0,0
Soriano,10,32860,32860,100.0,0,0,0
Tacuarembó,19,62434,62434,100.0,0,0,0
Treinta y Tres,9,29574,29574,100.0,0,0,0
