coordenada_id,departamento,latitud_reportada,longitud_reportada,pares_modelo_distintos,latitud_modelo,longitud_modelo,coincide_auditoria_previa
URY_AR_G_E450000_N6600000,Artigas,-30.7,-57.5,1,-30.7,-57.5,True
URY_AR_G_E450000_N6625000,Artigas,-30.5,-57.5,1,-30.5,-57.5,True
URY_AR_G_E475000_N6600000,Artigas,-30.7,-57.299995,1,-30.7,-57.299995,True
URY_AR_G_E475000_N6625000,Artigas,-30.5,-57.299995,1,-30.5,-57.299995,True
URY_AR_G_E500000_N6575000,Artigas,-31.0,-57.0,1,-31.0,-57.0,True
URY_AR_G_E500000_N6600000,Artigas,-30.7,-57.0,1,-30.7,-57.0,True
URY_AR_G_E500000_N6625000,Artigas,-30.5,-57.0,1,-30.5,-57.0,True
URY_AR_G_E500000_N6650000,Artigas,-30.3,-57.0,1,-30.3,-57.0,True
URY_AR_G_E525000_N6575000,Artigas,-31.0,-56.699997,1,-31.0,-56.699997,True
URY_AR_G_E525000_N6600000,Artigas,-30.7,-56.699997,1,-30.7,-56.699997,True
URY_AR_G_E525000_N6625000,Artigas,-30.5,-56.699997,1,-30.5,-56.699997,True
URY_AR_G_E525000_N6650000,Artigas,-30.3,-56.699997,1,-30.3,-56.699997,True
URY_AR_G_E550000_N6600000,Artigas,-30.7,-56.5,1,-30.7,-56.5,True
URY_AR_G_E550000_N6625000,Artigas,-30.5,-56.5,1,-30.5,-56.5,True
URY_CA_G_E575000_N6175000,Canelones,-34.6,-56.199997,1,-34.6,-56.199997,True
URY_CA_G_E600000_N6175000,Canelones,-34.6,-55.9,1,-34.6,-55.9,True
URY_CA_G_E625000_N6175000,Canelones,-34.6,-55.6,1,-34.6,-55.6,True
URY_CL_G_E675000_N6375000,Cerro Largo,-32.7,-55.1,1,-32.7,-55.1,True
URY_CL_G_E700000_N6375000,Cerro Largo,-32.7,-54.9,1,-32.7,-54.9,True
URY_CL_G_E700000_N6400000,Cerro Largo,-32.5,-54.9,1,-32.5,-54.9,True
URY_CL_G_E725000_N6400000,Cerro Largo,-32.5,-54.6,1,-32.5,-54.6,True
URY_CL_G_E725000_N6425000,Cerro Largo,-32.3,-54.6,1,-32.3,-54.6,True
URY_CL_G_E750000_N6400000,Cerro Largo,-32.5,-54.299995,1,-32.5,-54.299995,True
URY_CL_G_E750000_N6425000,Cerro Largo,-32.3,-54.299995,1,-32.3,-54.299995,True
URY_CL_G_E750000_N6450000,Cerro Largo,-32.1,-54.4,1,-32.1,-54.4,True
URY_CL_G_E750000_N6475000,Cerro Largo,-31.8,-54.4,1,-31.8,-54.4,True
URY_CL_G_E775000_N6400000,Cerro Largo,-32.5,-54.1,1,-32.5,-54.1,True
URY_CL_G_E775000_N6425000,Cerro Largo,-32.3,-54.1,1,-32.3,-54.1,True
URY_CL_G_E775000_N6450000,Cerro Largo,-32.1,-54.1,1,-32.1,-54.1,True
URY_CL_G_E800000_N6400000,Cerro Largo,-32.5,-53.799995,1,-32.5,-53.799995,True
URY_CL_G_E800000_N6425000,Cerro Largo,-32.3,-53.799995,1,-32.3,-53.799995,True
