coordenada_id,departamento_solicitado,departamento_iso,latitud_solicitada,longitud_solicitada,distancia_limite_m,metodo_seleccion,margen_interior_m,latitud_reportada,longitud_reportada,elevacion_reportada_m,distancia_solicitada_reportada_m,departamento_open_meteo,estado_asignacion,mismo_departamento,punto_valido,distancia_limite_nacional_m,tipo_zona,timezone,timezone_abbreviation,utc_offset_seconds,daily_units_json
URY_AR_G_E450000_N6600000,Artigas,UY-AR,-30.73183900000001,-57.52228699999999,12944.486524066826,grid,7500,-30.7,-57.5,94.0,4123.630023329667,Artigas,mismo_departamento,True,True,27066.889070947298,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E450000_N6625000,Artigas,UY-AR,-30.506253999999995,-57.52107699999999,20960.844389837555,grid,7500,-30.5,-57.5,102.0,2138.006674902912,Artigas,mismo_departamento,True,True,20960.844389837555,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E475000_N6600000,Artigas,UY-AR,-30.732627000000004,-57.261147,22875.657951149573,grid,7500,-30.7,-57.299995,140.0,5187.428769486086,Artigas,mismo_departamento,True,True,48610.32073147739,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E475000_N6625000,Artigas,UY-AR,-30.50703499999999,-57.260542,23655.965238987817,grid,7500,-30.5,-57.299995,63.0,3865.2651948510556,Artigas,mismo_departamento,True,True,23655.965238987817,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E500000_N6575000,Artigas,UY-AR,-30.958475999999997,-57.00000000000001,8995.2915130693,grid,7500,-31.0,-57.0,111.0,4601.887328904122,Artigas,mismo_departamento,True,True,77077.21772913708,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E500000_N6600000,Artigas,UY-AR,-30.73289,-57.00000000000001,33925.22982975581,grid,7500,-30.7,-57.0,156.0,3644.878288139589,Artigas,mismo_departamento,True,True,53297.8389980953,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E500000_N6625000,Artigas,UY-AR,-30.507296,-57.00000000000001,31419.67034110182,grid,7500,-30.5,-57.0,99.0,808.5181279070675,Artigas,mismo_departamento,True,True,31419.670341101424,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E500000_N6650000,Artigas,UY-AR,-30.281694,-57.00000000000001,15828.59979901856,grid,7500,-30.3,-57.0,81.0,2028.5430658087134,Artigas,mismo_departamento,True,True,15828.599799018011,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E525000_N6575000,Artigas,UY-AR,-30.958211,-56.738241,9076.77563119342,grid,7500,-31.0,-56.699997,221.0,5897.86312746396,Artigas,mismo_departamento,True,True,61215.313807398765,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E525000_N6600000,Artigas,UY-AR,-30.732627000000004,-56.738853,31482.672866565565,grid,7500,-30.7,-56.699997,181.0,5187.978047128347,Artigas,mismo_departamento,True,True,42742.570533843034,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
