coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite,latitud_reportada,longitud_reportada,departamento_open_meteo,distancia_solicitada_reportada_m,punto_valido
URY_AR_G_E450000_N6600000,Artigas,UY-AR,-30.73183900000001,-57.52228699999999,450000.0,6600000.0,12944.486524066826,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.7,-57.5,Artigas,4123.630023329667,True
URY_AR_G_E450000_N6625000,Artigas,UY-AR,-30.506253999999995,-57.52107699999999,450000.0,6625000.0,20960.844389837555,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.5,-57.5,Artigas,2138.006674902912,True
URY_AR_G_E475000_N6600000,Artigas,UY-AR,-30.732627000000004,-57.261147,475000.0,6600000.0,22875.657951149573,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.7,-57.299995,Artigas,5187.428769486086,True
URY_AR_G_E475000_N6625000,Artigas,UY-AR,-30.50703499999999,-57.260542,475000.0,6625000.0,23655.965238987817,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.5,-57.299995,Artigas,3865.2651948510556,True
URY_AR_G_E500000_N6575000,Artigas,UY-AR,-30.958475999999997,-57.00000000000001,500000.0,6575000.0,8995.2915130693,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-31.0,-57.0,Artigas,4601.887328904122,True
URY_AR_G_E500000_N6600000,Artigas,UY-AR,-30.73289,-57.00000000000001,500000.0,6600000.0,33925.22982975581,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.7,-57.0,Artigas,3644.878288139589,True
URY_AR_G_E500000_N6625000,Artigas,UY-AR,-30.507296,-57.00000000000001,500000.0,6625000.0,31419.67034110182,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.5,-57.0,Artigas,808.5181279070675,True
URY_AR_G_E500000_N6650000,Artigas,UY-AR,-30.281694,-57.00000000000001,500000.0,6650000.0,15828.59979901856,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.3,-57.0,Artigas,2028.5430658087134,True
URY_AR_G_E525000_N6575000,Artigas,UY-AR,-30.958211,-56.738241,525000.0,6575000.0,9076.77563119342,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-31.0,-56.699997,Artigas,5897.86312746396,True
URY_AR_G_E525000_N6600000,Artigas,UY-AR,-30.732627000000004,-56.738853,525000.0,6600000.0,31482.672866565565,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.7,-56.699997,Artigas,5187.978047128347,True
URY_AR_G_E525000_N6625000,Artigas,UY-AR,-30.50703499999999,-56.739458,525000.0,6625000.0,24671.372459937764,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.5,-56.699997,Artigas,3866.017085790188,True
URY_AR_G_E525000_N6650000,Artigas,UY-AR,-30.28143600000001,-56.740056,525000.0,6650000.0,9419.250083983256,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-30.3,-56.699997,Artigas,4367.178750202953,True
