departamento_solicitado,puntos_candidatos,puntos_validos,distancia_limite_min_m,desplazamiento_medio_m,desplazamiento_max_m,porcentaje_valido
Artigas,14,14,8081.017171959331,3712.773655867722,5897.86312746396,100.0
Canelones,3,3,10237.659160292847,4771.162287655575,5686.841763304766,100.0
Cerro Largo,14,14,9079.002090276996,3883.177948764194,6453.910473478395,100.0
Colonia,7,7,8055.808878091233,3909.267235443313,5988.45764362109,100.0
Durazno,12,12,10492.732071933731,3449.9526391611575,5866.942869697318,100.0
Flores,5,5,9208.188849742606,3873.420229398266,5208.303866427162,100.0
Florida,10,10,7577.540363065677,3597.6105017454975,6488.284816671846,100.0
Lavalleja,12,12,7740.56386004992,3980.4166794450907,6505.596278502374,100.0
Maldonado,3,3,11151.258671007065,3888.884362773542,5571.486121100653,100.0
Montevideo,1,1,5540.557403253214,3883.070185793406,3883.070185793406,100.0
Paysandú,16,16,7804.996236203186,3515.4427657853685,5532.925223035433,100.0
Rivera,11,11,9451.653033545095,3394.915272520178,5217.117256294708,100.0
Rocha,12,12,11740.680908078171,3797.348430105085,6578.322988783051,100.0
Río Negro,8,8,9022.783965379422,4601.147557938324,5292.845125619239,100.0
Salto,17,17,7528.347364329687,3369.7252058055255,5226.3397127395165,100.0
San José,4,4,8412.862690530612,4370.521629911681,5234.420361901937,100.0
Soriano,10,10,7681.837859202891,4497.389230108299,6488.795020320433,100.0
Tacuarembó,19,19,7621.470314549935,3888.955741206491,6319.428556551378,100.0
Treinta y Tres,9,9,7749.211747629147,4356.800856019796,6450.717701883133,100.0
