departamento,casos_altos,porcentaje_casos_altos,porcentaje_acumulado
Artigas,64,9.329446064139942,9.329446064139942
Canelones,63,9.183673469387756,18.5131195335277
Lavalleja,57,8.309037900874635,26.822157434402335
Tacuarembó,54,7.871720116618077,34.693877551020414
Rocha,53,7.725947521865889,42.419825072886304
Soriano,47,6.851311953352769,49.271137026239074
Cerro Largo,43,6.2682215743440235,55.5393586005831
Treinta y Tres,42,6.122448979591836,61.66180758017494
Colonia,39,5.685131195335277,67.34693877551021
Río Negro,39,5.685131195335277,73.03206997084548
Rivera,35,5.1020408163265305,78.13411078717202
San José,34,4.956268221574344,83.09037900874637
Maldonado,30,4.373177842565598,87.46355685131196
Paysandú,25,3.6443148688046647,91.10787172011663
Durazno,24,3.498542274052478,94.60641399416912
Florida,12,1.749271137026239,96.35568513119536
Salto,12,1.749271137026239,98.1049562682216
Flores,7,1.0204081632653061,99.1253644314869
Montevideo,6,0.8746355685131195,100.00000000000001
