anio,clase_preliminar,cantidad,total_observaciones,semanas_positivas,porcentaje,porcentaje_semanas_positivas,representacion_baja,clase_ausente
2018,Sin detección,653,1007,354,64.84607745779543,35.15392254220457,False,False
2018,Bajo,132,1007,354,13.108242303872888,35.15392254220457,False,False
2018,Moderado,149,1007,354,14.796425024826215,35.15392254220457,False,False
2018,Alto,73,1007,354,7.249255213505462,35.15392254220457,False,False
2019,Sin detección,568,988,420,57.48987854251012,42.51012145748988,False,False
2019,Bajo,175,988,420,17.71255060728745,42.51012145748988,False,False
2019,Moderado,150,988,420,15.182186234817813,42.51012145748988,False,False
2019,Alto,95,988,420,9.615384615384617,42.51012145748988,False,False
2020,Sin detección,520,988,468,52.63157894736842,47.368421052631575,False,False
2020,Bajo,159,988,468,16.09311740890688,47.368421052631575,False,False
2020,Moderado,142,988,468,14.37246963562753,47.368421052631575,False,False
2020,Alto,167,988,468,16.902834008097166,47.368421052631575,False,False
2021,Sin detección,643,988,345,65.08097165991903,34.91902834008097,False,False
2021,Bajo,162,988,345,16.39676113360324,34.91902834008097,False,False
2021,Moderado,110,988,345,11.133603238866396,34.91902834008097,False,False
2021,Alto,73,988,345,7.388663967611336,34.91902834008097,False,False
2022,Sin detección,617,988,371,62.44939271255061,37.550607287449395,False,False
2022,Bajo,160,988,371,16.194331983805668,37.550607287449395,False,False
2022,Moderado,130,988,371,13.157894736842104,37.550607287449395,False,False
2022,Alto,81,988,371,8.19838056680162,37.550607287449395,False,False
2023,Sin detección,615,988,373,62.24696356275303,37.75303643724696,False,False
2023,Bajo,170,988,373,17.20647773279352,37.75303643724696,False,False
2023,Moderado,135,988,373,13.663967611336034,37.75303643724696,False,False
2023,Alto,68,988,373,6.882591093117409,37.75303643724696,False,False
2024,Sin detección,738,1007,269,73.28699106256207,26.713008937437934,False,False
2024,Bajo,128,1007,269,12.711022840119165,26.713008937437934,False,False
2024,Moderado,102,1007,269,10.12909632571996,26.713008937437934,False,False
2024,Alto,39,1007,269,3.8728897715988087,26.713008937437934,False,False
2025,Sin detección,627,988,361,63.46153846153846,36.53846153846153,False,False
2025,Bajo,153,988,361,15.485829959514168,36.53846153846153,False,False
2025,Moderado,118,988,361,11.94331983805668,36.53846153846153,False,False
2025,Alto,90,988,361,9.109311740890687,36.53846153846153,False,False
