departamento,clase_preliminar,cantidad,total_observaciones,semanas_positivas,porcentaje,porcentaje_semanas_positivas,representacion_baja,clase_ausente
Artigas,Sin detección,212,418,206,50.717703349282296,49.282296650717704,False,False
Artigas,Bajo,69,418,206,16.507177033492823,49.282296650717704,False,False
Artigas,Moderado,73,418,206,17.464114832535884,49.282296650717704,False,False
Artigas,Alto,64,418,206,15.311004784688995,49.282296650717704,False,False
Canelones,Sin detección,264,418,154,63.1578947368421,36.84210526315789,False,False
Canelones,Bajo,48,418,154,11.483253588516746,36.84210526315789,False,False
Canelones,Moderado,43,418,154,10.287081339712918,36.84210526315789,False,False
Canelones,Alto,63,418,154,15.07177033492823,36.84210526315789,False,False
Cerro Largo,Sin detección,214,418,204,51.196172248803826,48.803827751196174,False,False
Cerro Largo,Bajo,99,418,204,23.684210526315788,48.803827751196174,False,False
Cerro Largo,Moderado,62,418,204,14.832535885167463,48.803827751196174,False,False
Cerro Largo,Alto,43,418,204,10.287081339712918,48.803827751196174,False,False
Colonia,Sin detección,261,418,157,62.44019138755981,37.55980861244019,False,False
Colonia,Bajo,54,418,157,12.918660287081341,37.55980861244019,False,False
Colonia,Moderado,64,418,157,15.311004784688995,37.55980861244019,False,False
Colonia,Alto,39,418,157,9.330143540669857,37.55980861244019,False,False
Durazno,Sin detección,281,418,137,67.22488038277513,32.77511961722488,False,False
Durazno,Bajo,73,418,137,17.464114832535884,32.77511961722488,False,False
Durazno,Moderado,40,418,137,9.569377990430622,32.77511961722488,False,False
Durazno,Alto,24,418,137,5.741626794258373,32.77511961722488,False,False
Flores,Sin detección,335,418,83,80.14354066985646,19.85645933014354,False,False
Flores,Bajo,56,418,83,13.397129186602871,19.85645933014354,False,False
Flores,Moderado,20,418,83,4.784688995215311,19.85645933014354,False,False
Flores,Alto,7,418,83,1.674641148325359,19.85645933014354,True,False
Florida,Sin detección,282,418,136,67.46411483253588,32.535885167464116,False,False
Florida,Bajo,60,418,136,14.354066985645932,32.535885167464116,False,False
Florida,Moderado,64,418,136,15.311004784688995,32.535885167464116,False,False
Florida,Alto,12,418,136,2.8708133971291865,32.535885167464116,False,False
Lavalleja,Sin detección,197,418,221,47.12918660287082,52.87081339712919,False,False
Lavalleja,Bajo,79,418,221,18.899521531100476,52.87081339712919,False,False
Lavalleja,Moderado,85,418,221,20.334928229665074,52.87081339712919,False,False
